stationID,hour,per_ten_minute,outNums,inNums,day
0,0,0,0.0,0.0,17
0,0,1,0.0,0.0,17
0,0,2,0.0,0.0,17
0,0,3,1.0,1.0,17
0,0,4,0.0,0.0,17
0,0,5,0.0,0.0,17
0,1,0,0.0,0.0,17
0,1,1,0.0,0.0,17
0,1,2,0.0,0.0,17
0,1,3,0.0,0.0,17
0,1,4,0.0,0.0,17
0,1,5,0.0,0.0,17
0,2,0,0.0,0.0,17
0,2,1,0.0,0.0,17
0,2,2,0.0,0.0,17
0,2,3,0.0,0.0,17
0,2,4,0.0,0.0,17
0,2,5,0.0,0.0,17
0,3,0,0.0,0.0,17
0,3,1,1.0,1.0,17
0,3,2,0.0,0.0,17
0,3,3,0.0,0.0,17
0,3,4,0.0,0.0,17
0,3,5,0.0,0.0,17
0,4,0,0.0,0.0,17
0,4,1,0.0,0.0,17
0,4,2,0.0,0.0,17
0,4,3,0.0,0.0,17
0,4,4,0.0,0.0,17
0,4,5,0.0,0.0,17
0,5,0,0.0,0.0,17
0,5,1,0.0,0.0,17
0,5,2,0.0,0.0,17
0,5,3,1.0,16.0,17
0,5,4,0.0,11.0,17
0,5,5,1.0,26.0,17
0,6,0,0.0,15.0,17
0,6,1,0.0,54.0,17
0,6,2,2.0,51.0,17
0,6,3,43.0,113.0,17
0,6,4,25.0,93.0,17
0,6,5,17.0,126.0,17
0,7,0,39.0,205.0,17
0,7,1,17.0,273.0,17
0,7,2,29.0,287.0,17
0,7,3,35.0,367.0,17
0,7,4,39.0,333.0,17
0,7,5,58.0,392.0,17
0,8,0,62.0,520.0,17
0,8,1,78.0,429.0,17
0,8,2,111.0,379.0,17
0,8,3,235.0,390.0,17
0,8,4,239.0,374.0,17
0,8,5,173.0,277.0,17
0,9,0,83.0,281.0,17
0,9,1,92.0,177.0,17
0,9,2,74.0,178.0,17
0,9,3,102.0,130.0,17
0,9,4,64.0,104.0,17
0,9,5,93.0,117.0,17
0,10,0,64.0,136.0,17
0,10,1,58.0,101.0,17
0,10,2,79.0,105.0,17
0,10,3,89.0,103.0,17
0,10,4,67.0,86.0,17
0,10,5,65.0,54.0,17
0,11,0,79.0,87.0,17
0,11,1,96.0,82.0,17
0,11,2,59.0,82.0,17
0,11,3,78.0,86.0,17
0,11,4,55.0,81.0,17
0,11,5,81.0,90.0,17
0,12,0,91.0,127.0,17
0,12,1,83.0,132.0,17
0,12,2,70.0,77.0,17
0,12,3,67.0,85.0,17
0,12,4,143.0,126.0,17
0,12,5,95.0,86.0,17
0,13,0,125.0,71.0,17
0,13,1,87.0,110.0,17
0,13,2,123.0,82.0,17
0,13,3,88.0,79.0,17
0,13,4,80.0,72.0,17
0,13,5,79.0,84.0,17
0,14,0,62.0,81.0,17
0,14,1,116.0,80.0,17
0,14,2,99.0,63.0,17
0,14,3,85.0,63.0,17
0,14,4,79.0,60.0,17
0,14,5,111.0,53.0,17
0,15,0,114.0,75.0,17
0,15,1,96.0,62.0,17
0,15,2,106.0,71.0,17
0,15,3,87.0,90.0,17
0,15,4,101.0,53.0,17
0,15,5,137.0,91.0,17
0,16,0,118.0,73.0,17
0,16,1,139.0,70.0,17
0,16,2,117.0,83.0,17
0,16,3,126.0,105.0,17
0,16,4,134.0,128.0,17
0,16,5,145.0,162.0,17
0,17,0,123.0,188.0,17
0,17,1,159.0,140.0,17
0,17,2,181.0,156.0,17
0,17,3,232.0,127.0,17
0,17,4,228.0,134.0,17
0,17,5,243.0,84.0,17
0,18,0,280.0,100.0,17
0,18,1,256.0,71.0,17
0,18,2,244.0,63.0,17
0,18,3,276.0,62.0,17
0,18,4,170.0,48.0,17
0,18,5,198.0,56.0,17
0,19,0,136.0,28.0,17
0,19,1,114.0,40.0,17
0,19,2,193.0,41.0,17
0,19,3,90.0,39.0,17
0,19,4,121.0,39.0,17
0,19,5,92.0,32.0,17
0,20,0,125.0,30.0,17
0,20,1,93.0,29.0,17
0,20,2,107.0,40.0,17
0,20,3,82.0,39.0,17
0,20,4,101.0,39.0,17
0,20,5,144.0,22.0,17
0,21,0,97.0,24.0,17
0,21,1,76.0,19.0,17
0,21,2,101.0,30.0,17
0,21,3,133.0,19.0,17
0,21,4,75.0,17.0,17
0,21,5,61.0,10.0,17
0,22,0,63.0,8.0,17
0,22,1,56.0,19.0,17
0,22,2,51.0,9.0,17
0,22,3,54.0,5.0,17
0,22,4,45.0,6.0,17
0,22,5,35.0,0.0,17
0,23,0,32.0,0.0,17
0,23,1,24.0,0.0,17
0,23,2,23.0,0.0,17
0,23,3,7.0,0.0,17
0,23,4,8.0,0.0,17
0,23,5,10.0,0.0,17
1,0,0,0.0,0.0,17
1,0,1,0.0,0.0,17
1,0,2,0.0,0.0,17
1,0,3,0.0,0.0,17
1,0,4,0.0,0.0,17
1,0,5,0.0,0.0,17
1,1,0,0.0,0.0,17
1,1,1,0.0,0.0,17
1,1,2,0.0,0.0,17
1,1,3,0.0,0.0,17
1,1,4,0.0,0.0,17
1,1,5,0.0,0.0,17
1,2,0,0.0,0.0,17
1,2,1,0.0,0.0,17
1,2,2,0.0,0.0,17
1,2,3,0.0,0.0,17
1,2,4,0.0,0.0,17
1,2,5,0.0,0.0,17
1,3,0,0.0,0.0,17
1,3,1,0.0,0.0,17
1,3,2,0.0,0.0,17
1,3,3,0.0,0.0,17
1,3,4,0.0,0.0,17
1,3,5,0.0,0.0,17
1,4,0,0.0,0.0,17
1,4,1,0.0,0.0,17
1,4,2,0.0,0.0,17
1,4,3,0.0,0.0,17
1,4,4,0.0,0.0,17
1,4,5,0.0,0.0,17
