stationID,hour,per_ten_minute,outNums,inNums,day
0,0,0,0.0,0.0,21
0,0,1,0.0,0.0,21
0,0,2,0.0,0.0,21
0,0,3,0.0,2.0,21
0,0,4,0.0,0.0,21
0,0,5,0.0,0.0,21
0,1,0,0.0,0.0,21
0,1,1,0.0,0.0,21
0,1,2,0.0,0.0,21
0,1,3,0.0,0.0,21
0,1,4,0.0,0.0,21
0,1,5,0.0,0.0,21
0,2,0,0.0,0.0,21
0,2,1,0.0,0.0,21
0,2,2,0.0,0.0,21
0,2,3,0.0,0.0,21
0,2,4,0.0,0.0,21
0,2,5,0.0,0.0,21
0,3,0,0.0,0.0,21
0,3,1,0.0,0.0,21
0,3,2,0.0,0.0,21
0,3,3,0.0,0.0,21
0,3,4,0.0,0.0,21
0,3,5,0.0,0.0,21
0,4,0,0.0,0.0,21
0,4,1,0.0,0.0,21
0,4,2,0.0,0.0,21
0,4,3,0.0,0.0,21
0,4,4,0.0,0.0,21
0,4,5,0.0,0.0,21
0,5,0,0.0,0.0,21
0,5,1,0.0,0.0,21
0,5,2,0.0,0.0,21
0,5,3,0.0,0.0,21
0,5,4,1.0,30.0,21
0,5,5,0.0,34.0,21
0,6,0,0.0,33.0,21
0,6,1,0.0,56.0,21
0,6,2,1.0,45.0,21
0,6,3,69.0,117.0,21
0,6,4,32.0,139.0,21
0,6,5,25.0,186.0,21
0,7,0,37.0,215.0,21
0,7,1,21.0,264.0,21
0,7,2,23.0,244.0,21
0,7,3,61.0,375.0,21
0,7,4,41.0,430.0,21
0,7,5,63.0,473.0,21
0,8,0,62.0,451.0,21
0,8,1,90.0,434.0,21
0,8,2,139.0,488.0,21
0,8,3,243.0,499.0,21
0,8,4,194.0,426.0,21
0,8,5,215.0,375.0,21
0,9,0,89.0,346.0,21
0,9,1,87.0,216.0,21
0,9,2,78.0,212.0,21
0,9,3,95.0,186.0,21
0,9,4,71.0,150.0,21
0,9,5,99.0,142.0,21
0,10,0,72.0,145.0,21
0,10,1,87.0,170.0,21
0,10,2,69.0,114.0,21
0,10,3,80.0,133.0,21
0,10,4,121.0,88.0,21
0,10,5,95.0,103.0,21
0,11,0,86.0,78.0,21
0,11,1,117.0,78.0,21
0,11,2,95.0,70.0,21
0,11,3,80.0,100.0,21
0,11,4,86.0,133.0,21
0,11,5,91.0,125.0,21
0,12,0,84.0,126.0,21
0,12,1,96.0,81.0,21
0,12,2,94.0,118.0,21
0,12,3,83.0,65.0,21
0,12,4,175.0,94.0,21
0,12,5,147.0,115.0,21
0,13,0,92.0,113.0,21
0,13,1,118.0,111.0,21
0,13,2,161.0,89.0,21
0,13,3,73.0,83.0,21
0,13,4,103.0,76.0,21
0,13,5,94.0,97.0,21
0,14,0,89.0,102.0,21
0,14,1,100.0,69.0,21
0,14,2,113.0,76.0,21
0,14,3,102.0,97.0,21
0,14,4,133.0,101.0,21
0,14,5,100.0,82.0,21
0,15,0,130.0,62.0,21
0,15,1,144.0,75.0,21
0,15,2,103.0,87.0,21
0,15,3,106.0,74.0,21
0,15,4,151.0,66.0,21
0,15,5,125.0,121.0,21
0,16,0,98.0,66.0,21
0,16,1,138.0,65.0,21
0,16,2,129.0,85.0,21
0,16,3,84.0,89.0,21
0,16,4,126.0,125.0,21
0,16,5,144.0,156.0,21
0,17,0,91.0,232.0,21
0,17,1,155.0,214.0,21
0,17,2,230.0,154.0,21
0,17,3,215.0,140.0,21
0,17,4,214.0,115.0,21
0,17,5,317.0,90.0,21
0,18,0,337.0,66.0,21
0,18,1,288.0,85.0,21
0,18,2,209.0,63.0,21
0,18,3,262.0,59.0,21
0,18,4,185.0,49.0,21
0,18,5,226.0,44.0,21
0,19,0,146.0,53.0,21
0,19,1,129.0,44.0,21
0,19,2,127.0,30.0,21
0,19,3,105.0,44.0,21
0,19,4,86.0,35.0,21
0,19,5,125.0,38.0,21
0,20,0,109.0,29.0,21
0,20,1,91.0,29.0,21
0,20,2,87.0,30.0,21
0,20,3,111.0,21.0,21
0,20,4,88.0,33.0,21
0,20,5,77.0,21.0,21
0,21,0,118.0,79.0,21
0,21,1,67.0,25.0,21
0,21,2,93.0,35.0,21
0,21,3,73.0,12.0,21
0,21,4,67.0,14.0,21
0,21,5,96.0,12.0,21
0,22,0,55.0,22.0,21
0,22,1,37.0,14.0,21
0,22,2,38.0,18.0,21
0,22,3,56.0,11.0,21
0,22,4,41.0,1.0,21
0,22,5,27.0,0.0,21
0,23,0,14.0,0.0,21
0,23,1,18.0,0.0,21
0,23,2,17.0,0.0,21
0,23,3,10.0,0.0,21
0,23,4,6.0,0.0,21
0,23,5,8.0,0.0,21
1,0,0,0.0,0.0,21
1,0,1,0.0,0.0,21
1,0,2,1.0,1.0,21
1,0,3,0.0,0.0,21
1,0,4,0.0,0.0,21
1,0,5,0.0,0.0,21
1,1,0,0.0,0.0,21
1,1,1,0.0,0.0,21
1,1,2,0.0,0.0,21
1,1,3,0.0,0.0,21
1,1,4,0.0,0.0,21
1,1,5,0.0,0.0,21
1,2,0,0.0,0.0,21
1,2,1,0.0,0.0,21
1,2,2,0.0,0.0,21
1,2,3,0.0,0.0,21
1,2,4,0.0,0.0,21
1,2,5,0.0,0.0,21
1,3,0,0.0,0.0,21
