stationID,hour,per_ten_minute,outNums,inNums,day
0,0,0,0.0,0.0,6
0,0,1,0.0,0.0,6
0,0,2,0.0,0.0,6
0,0,3,0.0,0.0,6
0,0,4,0.0,0.0,6
0,0,5,0.0,0.0,6
0,1,0,0.0,0.0,6
0,1,1,0.0,0.0,6
0,1,2,0.0,0.0,6
0,1,3,0.0,0.0,6
0,1,4,0.0,0.0,6
0,1,5,0.0,0.0,6
0,2,0,0.0,0.0,6
0,2,1,0.0,0.0,6
0,2,2,0.0,0.0,6
0,2,3,0.0,0.0,6
0,2,4,0.0,0.0,6
0,2,5,0.0,0.0,6
0,3,0,0.0,0.0,6
0,3,1,0.0,0.0,6
0,3,2,0.0,0.0,6
0,3,3,0.0,0.0,6
0,3,4,1.0,1.0,6
0,3,5,0.0,0.0,6
0,4,0,0.0,0.0,6
0,4,1,0.0,0.0,6
0,4,2,0.0,0.0,6
0,4,3,0.0,0.0,6
0,4,4,0.0,0.0,6
0,4,5,0.0,0.0,6
0,5,0,0.0,0.0,6
0,5,1,0.0,0.0,6
0,5,2,0.0,0.0,6
0,5,3,0.0,0.0,6
0,5,4,0.0,15.0,6
0,5,5,1.0,20.0,6
0,6,0,1.0,13.0,6
0,6,1,0.0,23.0,6
0,6,2,0.0,22.0,6
0,6,3,36.0,43.0,6
0,6,4,27.0,48.0,6
0,6,5,14.0,82.0,6
0,7,0,22.0,94.0,6
0,7,1,17.0,98.0,6
0,7,2,32.0,116.0,6
0,7,3,23.0,94.0,6
0,7,4,45.0,108.0,6
0,7,5,21.0,133.0,6
0,8,0,49.0,115.0,6
0,8,1,54.0,133.0,6
0,8,2,71.0,180.0,6
0,8,3,40.0,138.0,6
0,8,4,76.0,130.0,6
0,8,5,53.0,150.0,6
0,9,0,61.0,150.0,6
0,9,1,69.0,159.0,6
0,9,2,82.0,159.0,6
0,9,3,72.0,167.0,6
0,9,4,54.0,120.0,6
0,9,5,94.0,166.0,6
0,10,0,55.0,114.0,6
0,10,1,93.0,150.0,6
0,10,2,73.0,109.0,6
0,10,3,106.0,160.0,6
0,10,4,73.0,127.0,6
0,10,5,94.0,105.0,6
0,11,0,58.0,107.0,6
0,11,1,87.0,89.0,6
0,11,2,79.0,140.0,6
0,11,3,71.0,114.0,6
0,11,4,91.0,92.0,6
0,11,5,59.0,109.0,6
0,12,0,91.0,107.0,6
0,12,1,83.0,129.0,6
0,12,2,103.0,119.0,6
0,12,3,92.0,90.0,6
0,12,4,92.0,107.0,6
0,12,5,76.0,111.0,6
0,13,0,92.0,145.0,6
0,13,1,77.0,136.0,6
0,13,2,99.0,120.0,6
0,13,3,130.0,119.0,6
0,13,4,105.0,107.0,6
0,13,5,88.0,140.0,6
0,14,0,91.0,110.0,6
0,14,1,137.0,109.0,6
0,14,2,130.0,141.0,6
0,14,3,87.0,149.0,6
0,14,4,129.0,112.0,6
0,14,5,84.0,78.0,6
0,15,0,157.0,99.0,6
0,15,1,132.0,116.0,6
0,15,2,151.0,81.0,6
0,15,3,93.0,119.0,6
0,15,4,167.0,133.0,6
0,15,5,123.0,110.0,6
0,16,0,148.0,98.0,6
0,16,1,154.0,140.0,6
0,16,2,112.0,122.0,6
0,16,3,149.0,107.0,6
0,16,4,159.0,72.0,6
0,16,5,170.0,112.0,6
0,17,0,123.0,92.0,6
0,17,1,118.0,77.0,6
0,17,2,96.0,88.0,6
0,17,3,127.0,79.0,6
0,17,4,127.0,102.0,6
0,17,5,108.0,87.0,6
0,18,0,116.0,77.0,6
0,18,1,90.0,75.0,6
0,18,2,128.0,75.0,6
0,18,3,76.0,61.0,6
0,18,4,97.0,56.0,6
0,18,5,97.0,58.0,6
0,19,0,69.0,44.0,6
0,19,1,85.0,37.0,6
0,19,2,90.0,38.0,6
0,19,3,81.0,60.0,6
0,19,4,71.0,49.0,6
